Track_ID,Track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,category
0HK2fI2A1NBrWvxmrvhlrC,La Plaza,0.718,0.436,11,-11.34,0,0.0753,0.336,0.0,0.0763,0.331,123.094,Instrumental
25nHi1GP3BT51ISQtt7upT,Querida Música,0.668,0.621,7,-11.886,1,0.471,0.502,0.0,0.391,0.824,92.762,Instrumental
5VfVygqUs9WkQOUeVQk59w,Sobre la Marcha,0.704,0.473,0,-9.443,1,0.0952,0.844,1.41e-06,0.0962,0.459,84.608,Instrumental
3BEBly8JcVPfB3lUmVdLIm,,0.736,0.527,5,-10.431,1,0.0393,0.692,0.00637,0.103,0.298,117.933,Instrumental
2hLrOIxv0oNGcqCEF5if7b,Back in the Days 3,0.7,0.435,2,-13.165,1,0.142,0.325,0.0,0.0857,0.0729,107.947,Instrumental
5ZPt313k3DYKtqErNn41jF,Enamorao de las Dos,0.77,0.445,5,-9.745,1,0.115,0.743,0.0383,0.199,0.158,97.948,Instrumental
6cfgg1IdLJFZr1PHcxTqjT,Domingo de Birras,0.797,0.73,4,-6.492,0,0.143,0.286,1.85e-06,0.108,0.389,93.976,Instrumental
7kCl6qnoONpkAlUHQvGSc0,Orgullo y Ambición,0.762,0.896,5,-5.943,0,0.323,0.0932,0.0,0.186,0.483,99.666,Instrumental
2DwTME1HMySsnglHE1T0zZ,Puñalada Trapera,0.526,0.741,7,-7.671,1,0.0746,0.242,3.06e-05,0.116,0.531,179.882,Instrumental
1EJfdvLYKAsbX9XslyENMH,La Virgen de La Humanidad,0.623,0.838,10,-6.157,0,0.0409,0.0158,0.0,0.0958,0.856,90.02,Instrumental
6UowyibhCgLMU42K6DOEIM,Corazón de Lava,0.451,0.654,6,-7.375,1,0.0305,0.138,0.00949,0.133,0.247,87.006,Instrumental
4bZEZhCq2kqUxnMacXVl5x,Copenhague,0.559,0.742,9,-3.945,1,0.0243,0.411,0.0107,0.133,0.482,92.959,Instrumental
2Kwrilyy72uqQTmXXZ7AHN,Fotografías,0.281,0.912,7,-6.536,1,0.152,0.0768,0.0,0.0504,0.477,82.54,Instrumental
5oQ6Q9fsgUpjS2Rth3Bkwg,Canción para Nadie,0.476,0.832,9,-7.461,0,0.104,0.69,0.0,0.192,0.194,143.961,Instrumental
7ELYGOjvwn8mjjO4bdUYil,Ruido Blanco,0.439,0.905,4,-6.246,1,0.0824,0.0777,1.88e-06,0.119,0.34,149.978,Instrumental
4ilgbQ38DoCQDef4AYh1Qh,La mujer cactus y el hombre globo,0.674,0.699,9,-5.725,1,0.0813,0.05,0.0,0.0884,0.461,95.953,Instrumental
74xJ93SJIeY3yunnJ3lbGm,Calle de la Llorería,0.588,0.897,4,-3.255,1,0.231,0.0522,0.0,0.73,0.612,94.152,Instrumental
0JKpVMMZA0TZR59gqzPETU,Tristan da Cunha (feat. Vanesa Martín),0.374,0.746,8,-5.484,1,0.389,0.214,0.0,0.176,0.593,65.924,Instrumental
39eNN9gZKNz6FltWDoLs8i,Imperdible,0.769,0.729,7,-4.982,0,0.0994,0.248,0.0,0.0917,0.197,89.884,Instrumental
0xVOXUryXFWedCo4i8xe0P,Haz de luz,0.671,0.598,10,-8.988,0,0.123,0.423,0.0,0.136,0.625,124.939,R&B
3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us (feat. Ray Dalton),0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,Instrumental
7HiIy4QaA5ud7ZuuyBysKk,STORY,0.528,0.854,7,-3.94,1,0.532,0.645,0.0,0.617,0.512,179.835,Instrumental
10bt2wAkFgCWRCEOyAyWT9,How Could You Leave Us,0.536,0.708,6,-7.882,1,0.758,0.513,0.0,0.0951,0.09,78.33,Instrumental
52okn5MNA47tk87PeZJLEL,Let You Down,0.662,0.714,5,-5.68,0,0.121,0.312,0.0,0.179,0.464,147.997,Instrumental
6r8il6QJeBaNWV4kSAWV2t,Million Questions,0.754,0.741,5,-4.506,1,0.0357,0.196,0.0,0.653,0.235,129.987,Instrumental
5oHHknbV60X7ezoWXhMeXD,S.L.U.T.,0.726,0.763,5,-4.388,0,0.077,0.0607,0.0,0.161,0.754,95.009,Instrumental
3Q8avvsQE7mtTXT2TrDx3I,Sincericidio,0.566,0.81,0,-5.235,1,0.0382,0.000543,0.000397,0.0975,0.258,124.885,Instrumental
3NolL8Ds5qRrYQSVUBKicn,23 de Junio,0.442,0.473,9,-8.63,0,0.0394,0.616,1.17e-06,0.0693,0.547,172.879,Instrumental
0eVB5kmXBHSKgTYxgI77kq,Los Días Raros,0.504,0.436,4,-9.641,1,0.0276,0.503,0.68,0.118,0.0506,90.114,Instrumental
4GmmUEm9e5jlZiZXalRpAk,Moving,0.78,0.754,2,-7.785,1,0.138,0.0452,0.0,0.0967,0.558,149.946,Instrumental
2W7dvnZHuATpy9jKot6wS3,Volar,0.719,0.546,4,-7.063,1,0.0265,0.564,0.0,0.116,0.817,100.939,Instrumental
2LsbizbOeNa4x6qsi2jAMb,La flaca,0.871,0.481,7,-9.068,1,0.0383,0.52,5.54e-05,0.0809,0.664,103.063,Instrumental
7aeHapTEt5bjK6oN1Yo9j4,Canto (El mismo dolor),0.823,0.49,4,-6.31,0,0.135,0.137,9.73e-05,0.0815,0.83,75.014,Instrumental
5y4g8rBf30P8Tc0pibVUnX,Hijos de un Mismo Dios,0.596,0.638,7,-7.394,1,0.0287,0.0866,0.0,0.104,0.399,104.881,Instrumental
4FmX5oBaoyUgIkvSIBGq8t,Mama Tierra,0.79,0.888,2,-4.095,0,0.147,0.145,4.75e-06,0.296,0.874,99.991,Instrumental
05HXwAFu0Sv2q924xDn8NP,Demasiado soñadores,0.558,0.818,7,-4.456,1,0.0395,0.0033,6.05e-06,0.162,0.27,126.008,Instrumental
3MRSDjj176vAb9Sn9jSkir,El Blues de Lo Que Pasa en Mi Escalera,0.553,0.93,4,-5.859,1,0.0968,0.0304,1.81e-06,0.112,0.751,189.377,Instrumental
5VQarczMNfW5OyLGuZhA6H,Sálvese Quien Pueda,0.587,0.862,6,-2.63,0,0.0464,0.378,0.0,0.152,0.332,132.048,R&B
5Hc7O2dX51NI4YcHPuoOpw,Desaparecido,0.591,0.627,9,-6.903,0,0.0935,0.669,0.0,0.127,0.741,191.944,Instrumental
51R2M1JgyFfRS3e6v5wCt3,Clandestino,0.68,0.594,6,-6.417,0,0.0688,0.469,0.0,0.431,0.774,85.04,Instrumental
0Xfv1QCPBEPdmSbxsuaX6a,No puedo vivir sin ti (feat. Anni B Sweet),0.549,0.257,3,-14.91,1,0.0768,0.742,1.71e-06,0.0944,0.197,120.7,Instrumental
7siFxcjJi6vSOFHN41cVUs,Muérdeme,0.555,0.923,2,-4.076,1,0.0468,0.00298,0.00388,0.297,0.427,129.976,Instrumental
29tVNOmg85qDLh2wVnJxpv,Allí donde solíamos gritar,0.499,0.819,10,-6.781,1,0.0347,0.00577,0.00886,0.368,0.337,125.976,Instrumental
0pyT9W877RcYtVdl1ZmlvQ,Valiente,0.554,0.9,4,-3.654,0,0.0366,0.00382,8.26e-06,0.133,0.569,140.023,Instrumental
7ixB1UqUrV87IvACFJayXy,Supersubmarina,0.511,0.915,2,-2.864,1,0.037,0.00201,0.000313,0.227,0.375,147.976,Instrumental
3ztnp89aCU5OMQBlbIkEI8,Pequeña Gran Revolución,0.578,0.791,9,-5.758,1,0.0315,0.0975,5.58e-05,0.118,0.162,105.042,Instrumental
72wNM7VYxTZ1PawCKzfTZx,La Mujer de Verde,0.507,0.73,7,-5.66,1,0.0514,0.187,5.14e-06,0.0843,0.244,151.965,Instrumental
1t9xsch2D9URgAFWuE7kc8,El Baile,0.562,0.85,11,-5.092,1,0.0609,0.0487,0.0,0.0912,0.581,149.946,Instrumental
6T1071kNui4EUABJp4Dciq,Chas! Y Aparezco A Tu Lado,0.669,0.884,9,-2.613,1,0.0402,0.00184,0.0,0.0676,0.963,128.018,Instrumental
03WR6VvEY3EIJklavG72LY,Ana,0.478,0.946,8,-3.017,0,0.0944,0.00336,0.0238,0.345,0.508,150.94,Instrumental
3DczsC0yjzKebbhEp0V9zQ,Cientocero,0.573,0.907,2,-3.194,1,0.0533,0.00977,0.0,0.354,0.907,152.626,Instrumental
0WFSHNVtCYni6ktsBy4BsJ,Coyotes (Versión en Acústico El Embarcadero),0.433,0.244,9,-8.389,0,0.0354,0.895,9.94e-06,0.113,0.242,145.818,Instrumental
2KrXkY8yRsncGk2kXPD4Zt,Diazepam,0.436,0.46,4,-6.037,1,0.0307,0.62,0.0,0.17,0.384,180.124,Instrumental
5cqgD8yZFH4aVb9nAeYfqo,Iceberg,0.732,0.481,2,-6.891,1,0.0257,0.61,3.53e-05,0.0708,0.447,104.961,Instrumental
1JPAdkxgJZ0fbHA3sXZzJz,Tarde,0.837,0.659,4,-8.202,0,0.141,0.548,0.0,0.107,0.966,135.833,Instrumental
