Track_ID,Track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,category
49NjyMF2NnxNktEmi2Xge3,Asturias - 2006 Remastered Version,0.726,0.883,4,-5.234,1,0.0784,0.0144,0.000661,0.0367,0.884,115.012,Instrumental
4wYpjral4wvOld6talKDM4,Asturias (Leyenda),0.275,0.0863,4,-26.23,0,0.0516,0.972,0.932,0.0763,0.146,108.455,Instrumental
3HMuJG1y7pyjg7Rrk17Rsb,Algo contigo,0.602,0.189,9,-10.708,1,0.0343,0.978,0.0152,0.102,0.247,101.241,Instrumental
5sQGo3fB2NoFalyy4uZjiu,Ojalá,0.526,0.235,7,-14.074,0,0.0991,0.907,4.44e-06,0.111,0.377,91.24,Instrumental
64VvoNRmzv7qBMb5cc4Khz,Nacidos de lo Alto,0.666,0.53,9,-6.776,1,0.0365,0.25,0.0,0.173,0.25,127.852,Instrumental
4Qkh07f6VAwhYPGBa37cXa,Niebla,0.509,0.967,9,-2.976,1,0.0781,0.00425,1.31e-05,0.183,0.508,151.948,Instrumental
6mIFllrUsK9CKoy9zA0yc0,Tu Misericordia,0.599,0.721,0,-6.683,1,0.0315,0.0712,0.000242,0.0931,0.485,128.993,Instrumental
7GyrhtQUvdCM1I6FZusRfI,Bailando Con el Viento,0.588,0.67,0,-5.667,1,0.0269,0.232,1.28e-05,0.139,0.434,87.456,Instrumental
0aHqflgjBiuNWvFJw2MhoQ,b.o.b.o.,0.716,0.958,1,-3.837,0,0.0474,0.0862,0.0,0.467,0.966,147.023,Instrumental
4RCWURRI1qnMd4MBUsPSpZ,Y te diré (feat. Marwan) - Acústico,0.447,0.302,9,-11.421,1,0.0456,0.872,0.0,0.118,0.293,141.811,Instrumental
1eaBXQH5jc9zuVLkIl0Dlm,Los Restos de Esta Historia (feat. Iván Ferreiro),0.414,0.687,0,-6.898,0,0.0425,0.0358,0.0,0.108,0.542,93.843,Instrumental
2LtfWnFmgeC8zFgl1RsLyT,En Mi Cabeza,0.619,0.728,4,-6.786,0,0.0644,0.0268,0.0,0.11,0.74,92.974,Instrumental
4J2QcplOla4PXNU4zXt3vG,Mi Paracaídas,0.711,0.539,7,-6.796,1,0.0377,0.479,0.0,0.0993,0.456,114.135,Instrumental
1zuyN9yfdHIJt1y0fMNDCB,Contra las cuerdas (feat. Leiva) - Acústico,0.716,0.472,2,-8.353,1,0.0345,0.254,6.2e-05,0.723,0.356,116.918,Afro
169y9Xs1J58HLBJVMobMVC,Plan B,0.566,0.744,9,-3.582,1,0.0256,0.0126,2.55e-05,0.184,0.575,132.073,Instrumental
3EmeSMkdC5IRTOLd5ngS4v,La noche en calma,0.636,0.458,5,-7.491,1,0.0301,0.528,1.27e-05,0.101,0.387,120.947,Instrumental
5exhg8yRvc7vUqeLw53GJ1,Cuando no estás,0.494,0.709,6,-7.198,1,0.0639,0.876,4.35e-06,0.115,0.222,99.985,Instrumental
325R4okpFnhCZ8guXOH0Ah,El Beso,0.495,0.781,4,-5.887,1,0.0416,0.00129,0.0591,0.113,0.464,118.076,Instrumental
4MM6MCxm9a1d4c7CxxRzje,El Último Portazo,0.608,0.627,4,-7.681,1,0.245,0.218,0.0,0.0935,0.306,154.054,Instrumental
4SgXmHVIRyaJX5O1BrQqoF,Sevilla,0.492,0.739,9,-5.292,1,0.0455,0.252,0.0,0.0879,0.267,160.027,Instrumental
29b9eNdZShfdUkqDyHlimX,Alta la Frente (Himno del Centenario del Deportivo Alavés),0.328,0.795,6,-7.46,0,0.0702,0.026,0.0,0.618,0.32,122.995,Instrumental
4OSOYen9V6Vgl0YXZWlYMf,FUEGO,0.62,0.62,0,-6.753,1,0.199,0.241,0.0,0.138,0.648,89.715,Instrumental
6eflNc4qaRQ2uuNZKsg4bM,Designer,0.717,0.548,10,-5.907,0,0.328,0.632,0.0,0.123,0.353,186.009,R&B
1Gvd5VvcVQbMUNTypuSbic,Dark Thought,0.645,0.553,0,-6.195,1,0.0402,0.361,7.75e-06,0.327,0.149,87.533,Instrumental
6Up545NUflOiXo8cEraH49,You Say,0.494,0.632,5,-6.89,1,0.0342,0.682,0.0,0.0869,0.0797,147.873,Instrumental
54mr3wNTOkN1bdsJ7dP3qF,El pasaje del terror,0.666,0.569,5,-7.715,1,0.0251,0.0485,1.76e-05,0.0953,0.546,92.009,Instrumental
6CLdnyg83r7ZRjLhiSykyK,Me Vieron Cruzar,0.537,0.703,2,-7.392,1,0.0429,0.14,2.08e-05,0.0709,0.499,91.993,Instrumental
0NoFZ4BKeZw0qLDEC90hMc,En EL Limbo,0.322,0.387,2,-6.776,0,0.0321,0.201,0.195,0.111,0.248,152.749,Instrumental
4kD4ZzJ1rZIVfJ9qw85CVT,Hong Kong,0.649,0.376,4,-7.528,1,0.039,0.0626,2.72e-05,0.0911,0.434,97.848,Instrumental
4YEU9N2XAE0DfUwxWI5ijA,Todo se transforma,0.761,0.488,9,-7.326,1,0.043,0.199,0.00236,0.0864,0.682,100.024,Instrumental
5QIqsvviDkeqrB6FJaelOW,Por una cabeza,0.703,0.285,0,-12.39,1,0.12,0.904,1.67e-05,0.0915,0.436,90.842,Instrumental
4UOt0ObZ4Oqi7LSU1Gzzkq,Por Una Cabeza,0.373,0.264,8,-7.393,0,0.0571,0.969,0.00869,0.296,0.435,63.924,Instrumental
1jSiCrX3a7ie9Okck6lL1R,Por Una Cabeza,0.387,0.258,7,-12.544,0,0.0395,0.939,0.0231,0.553,0.294,62.432,Instrumental
